keys,de,en,tr
OFFER_DEKO,Deko,Decoration,Dekorasyon
OFFER_DEKO_INFO,Stufe %d · +%d %% Einnahmen je Stufe,Level %d · +%d %% income per level,Seviye %d · seviye başına +%%%d gelir
OFFER_LICENSE_INFO,Ohne Lizenz verkaufst du nur Helles.,Without a license you only sell Helles.,Lisans olmadan sadece Helles satarsın.
LIC_WEIZEN,Weizen-Lizenz,Wheat beer license,Buğday birası lisansı
LIC_RADLER,Radler-Lizenz,Radler license,Radler lisansı
LIC_BREZN,Brezn-Lizenz,Pretzel license,Brezel lisansı
LIC_SOSIS,Wurst-Lizenz,Sausage license,Sosis lisansı
LIC_INFO,Danach bestellen Gäste auch das.,Guests will order it too.,Misafirler bunu da sipariş eder.
LIC_FESTBIER,Festbier-Lizenz,Festival beer license,Festival birası lisansı
LIC_HENDL,Hendl-Lizenz,Roast chicken license,Tavuk lisansı
LIC_INFO_LATE,Premium: Gäste zahlen deutlich mehr dafür.,Premium: guests pay a lot more for it.,Premium: misafirler bunun için çok daha fazla öder.
WHY_LIC_LATE,Erst ab Zeltstufe 3 oder der 2. Wiesn,Only from tent level 3 or the 2nd season,Ancak çadır seviyesi 3 veya 2. sezondan itibaren
STAFF_COOK,Koch,Cook,Aşçı
STAFF_WAITER,Kellner,Waiter,Garson
STAFF_CLEANER,Reinigungskraft,Cleaner,Temizlikçi
STAFF_INFO_COOK,"Kocht Brezn und Würstl vor und trägt sie zur Ausgabe an der Theke — du und die Kellner nehmen sie nur noch mit. Braucht eine Brezn- oder Würstl-Lizenz.","Pre-cooks pretzels and sausages and carries them to the pass at the bar — you and the waiters just pick them up. Needs a pretzel or sausage license.","Brezel ve sosisleri önceden pişirip tezgâhtaki servis yerine götürür — sen ve garsonlar sadece alırsınız. Brezel ya da sosis lisansı gerekir."
STAFF_INFO_WAITER,"Bedient Gäste, trägt je nach Stufe 2 bis 12 Krüge. Ohne Zapfer zapft er jeden Krug selbst.","Serves guests, carries 2 to 12 mugs depending on level. Without a bartender he pours every mug himself.","Misafirlere servis yapar, seviyeye göre 2–12 kupa taşır. Barmen yoksa her kupayı kendisi doldurur."
STAFF_TAPSTER,Zapfer,Bartender,Barmen
STAFF_INFO_TAPSTER,"Zapft laufend Bier vor und stellt volle Krüge auf die Ausgabe an der Theke — du und die Kellner müssen nicht mehr selbst zapfen.","Keeps pouring beer and puts full mugs on the pass at the bar — you and the waiters no longer pour yourselves.","Sürekli bira doldurup dolu kupaları tezgâhtaki servis yerine koyar — sen ve garsonlar artık kendiniz doldurmazsınız."
HINT_AUSGABE_TAKE,{interact} Fertiges von der Ausgabe nehmen,{interact} Take from the pass,{interact} Servis yerinden al
HINT_AUSGABE_EMPTY,Ausgabe — Zapfer und Koch stellen hier Fertiges ab,Pass — bartender and cook put finished items here,Servis yeri — barmen ve aşçı hazırları buraya koyar
WORLD_AUSGABE,%d · %d fertig,%d · %d ready,%d · %d hazır
STAFF_INFO_CLEANER,Putzt Erbrochenes und Pfützen weg.,Cleans up vomit and puddles.,Kusmuk ve birikintileri temizler.
STAFF_WAGE,Lohn %s pro Schicht,Wage %s per shift,Vardiya başı maaş %s
STAFF_EMPLOYED,Im Dienst: %s,Employed: %s,Çalışan: %s
STAFF_NONE,niemand,nobody,kimse
STAFF_COUNT,%d (Stufe %s),%d (level %s),%d (seviye %s)
EIG_SCHNELL,Flink (schneller · Lohn +25 %),Quick (faster · wage +25 %),Çevik (daha hızlı · maaş +%25)
EIG_GEMUETLICH,Gemütlich (langsamer · Lohn −25 %),Laid-back (slower · wage −25 %),Rahat (daha yavaş · maaş −%25)
EIG_CHARMEUR,Charmeur (+Beliebtheit · Lohn +15 %),Charmer (+popularity · wage +15 %),Çapkın (+popülerlik · maaş +%15)
EIG_SCHLUCKSPECHT,Schluckspecht (trinkt nachts Bier · Lohn −30 %),Boozer (drinks beer at night · wage −30 %),Ayyaş (gece bira içer · maaş −%30)
EIG_NORMAL,Unauffällig,Ordinary,Sıradan
ACT_1,Straßenmusiker,Street musician,Sokak müzisyeni
ACT_2,Blaskapelle,Brass band,Bando
ACT_3,Star-Act,Star act,Yıldız sanatçı
ACT_INFO,+%d %% Andrang in der nächsten Schicht · sofort +%d %% Beliebtheit,+%d %% crowd next shift · instantly +%d %% popularity,Sonraki vardiyada +%%%d kalabalık · anında +%%%d popülerlik
ACT_TAB_INFO,Gilt für die nächste Schicht.,Applies to the next shift.,Sonraki vardiya için geçerli.
GOODS_BEER,Bier,Beer,Bira
GOODS_FOOD,Zutaten fürs Essen,Food ingredients,Yemek malzemesi
GOODS_INFO,1 Paket = %d Portionen · %s pro Paket,1 package = %d servings · %s per package,1 paket = %d porsiyon · paket başı %s
GOODS_STOCK,Im Lager: %d · Lieferungen unterwegs: %d,In storage: %d · deliveries on the way: %d,Depoda: %d · yoldaki teslimat: %d
GOODS_TAB_INFO,"Der Lieferwagen kommt nach etwa 30 Sekunden. Dann die Pakete ins Lager tragen, sonst kannst du nichts verkaufen.","The delivery van arrives after about 30 seconds. Carry the packages into storage, or you can't sell anything.","Teslimat aracı yaklaşık 30 saniye sonra gelir. Paketleri depoya taşı, yoksa hiçbir şey satamazsın."
BTN_RENT,Mieten · %s,Rent · %s,Kirala · %s
BTN_PLACE,Aufstellen · %s,Place · %s,Koy · %s
BTN_SELL,Verkaufen · +%s,Sell · +%s,Sat · +%s
BTN_BUY,Kaufen · %s,Buy · %s,Satın al · %s
BTN_HIRE,Einstellen · %s,Hire · %s,İşe al · %s
BTN_UPGRADE,Aufstufen · %s,Upgrade · %s,Yükselt · %s
BTN_UPGRADE_PLAIN,Aufstufen,Upgrade,Yükselt
BTN_BOOK,Buchen · %s,Book · %s,Ayarla · %s
BTN_PACKS,×%d · %s,×%d · %s,×%d · %s
DONE_RENTED,Gemietet,Rented,Kiralandı
DONE_INSTALLED,Eingebaut,Installed,Kuruldu
DONE_OWNED,Vorhanden,Owned,Alındı
WHY_NEED_TENT,Zuerst ein Zelt mieten,Rent a tent first,Önce bir çadır kirala
WHY_MONEY,Zu wenig Geld (Dispo reicht bis %s),Not enough money (overdraft goes down to %s),Yetersiz para (eksi bakiye sınırı %s)
WHY_RESERVE,"Zuerst Bier bestellen — sonst bleibt kein Geld für Ware","Order beer first — otherwise there's no money left for supplies","Önce bira sipariş et — yoksa malzemeye para kalmaz"
WHY_TABLE_LIMIT,Tischgrenze erreicht (%d) — Zelt vergrößern,Table limit reached (%d) — enlarge the tent,Masa sınırı doldu (%d) — çadırı büyüt
WHY_NO_TABLES,Keine Tische aufgestellt,No tables placed,Kurulu masa yok
WHY_MAX_TENT,Größtes Zelt,Largest tent,En büyük çadır
WHY_NO_STAFF,Aufstufen: noch niemand eingestellt,Upgrade: nobody hired yet,Yükseltme: henüz kimse işe alınmadı
WHY_STAFF_MAX,Alle auf höchster Stufe,Everyone is at max level,Hepsi en üst seviyede
WHY_ACT_BOOKED,Schon gebucht: %s,Already booked: %s,Zaten ayarlandı: %s
COMP_TITLE,Zelt-Computer,Tent computer,Çadır bilgisayarı
COMP_PRICE,Bierpreis,Beer price,Bira fiyatı
COMP_PRICE_INFO,"Günstig lockt mehr Gäste, bringt aber weniger je Maß. Teuer bringt mehr je Maß, dafür kommen weniger Gäste.","Cheap draws more guests but earns less per mug. Expensive earns more per mug, but fewer guests come.","Ucuz fiyat daha çok misafir çeker ama kupa başına daha az kazandırır. Pahalı fiyat kupa başına daha çok kazandırır ama daha az misafir gelir."
COMP_PRICE_VALUE,"Helles, Weizen, Radler: %s je Maß\nBrezn, Würstl: %s\nPreis %d %% · Andrang %d %%","Helles, wheat beer, shandy: %s per mug\nPretzel, sausage: %s\nPrice %d %% · crowd %d %%","Helles, buğday birası, radler: kupa başı %s\nBrezel, sosis: %s\nFiyat %%%d · kalabalık %%%d"
BTN_CHEAPER,− 10 %,− 10 %,− 10 %
BTN_PRICIER,+ 10 %,+ 10 %,+ 10 %
COMP_LOBBY,Name und Farbe ändern,Change name and colour,Ad ve rengi değiştir
COMP_CLOSE_TENT,Zelt jetzt schließen (kostet Beliebtheit),Close the tent now (costs popularity),Çadırı şimdi kapat (popülerlik kaybettirir)
REPORT_NONE,Noch keine Schicht gespielt.,No shift played yet.,Henüz vardiya oynanmadı.
REPORT_END_NORMAL,22:00 — Feierabend!,22:00 — closing time!,22:00 — mesai bitti!
REPORT_END_COMPLAINTS,Zu viele Beschwerden — Zelt früh geschlossen,Too many complaints — tent closed early,Çok fazla şikâyet — çadır erken kapandı
REPORT_END_EARLY,Um %02d:00 geschlossen · Beliebtheit −%d %%,Closed at %02d:00 · popularity −%d %%,Kapanış saati %02d:00 · popülerlik −%%%d
REPORT_REVENUE,Umsatz,Revenue,Ciro
REPORT_TIPS,davon Trinkgeld fürs Putzen: %s,incl. tips for cleaning: %s,temizlik bahşişi dahil: %s
REPORT_RENT,Miete,Rent,Kira
REPORT_WAGES,Löhne,Wages,Maaşlar
REPORT_GOODS,Ware,Supplies,Malzeme
REPORT_INTEREST,Zinsen,Interest,Faiz
REPORT_NET,Netto,Net,Net
REPORT_SERVED,Serviert %d · Verpasst %d,Served %d · Missed %d,Servis %d · Kaçırılan %d
REPORT_MESS,Pfützen %d · Beschwerden %d · Gäste gegangen %d,Puddles %d · Complaints %d · Guests who left %d,Birikinti %d · Şikâyet %d · Giden misafir %d
MSG_NO_MONEY,Zu wenig Geld für %s (%s),Not enough money for %s (%s),%s için para yetmiyor (%s)
MSG_NEED_TENT,Zuerst ein Zelt mieten (Wiesenbüro),Rent a tent first (Fair Office),Önce bir çadır kirala (Fuar Ofisi)
MSG_TENT_RENTED,%s gemietet! Stell jetzt Tische auf.,%s rented! Now set up tables.,%s kiralandı! Şimdi masa kur.
MSG_TABLE_LIMIT,Tischgrenze erreicht (%d) — Zelt vergrößern,Table limit reached (%d) — enlarge the tent,Masa sınırı doldu (%d) — çadırı büyüt
MSG_TABLE_PLACED,Tisch aufgestellt (%d/%d),Table placed (%d/%d),Masa kuruldu (%d/%d)
MSG_MARKETING,Werbung Stufe %d — Beliebtheit +%d %%,Advertising level %d — popularity +%d %%,Reklam seviye %d — popülerlik +%%%d
MSG_DEKO,Deko Stufe %d — Einnahmen +%d %%,Decoration level %d — income +%d %%,Dekorasyon seviye %d — gelir +%%%d
MSG_TOILET_HAVE,Die Toilette ist schon eingebaut,The toilet is already installed,Tuvalet zaten kurulu
MSG_TOILET_DONE,Toilette eingebaut — keine Pfützen mehr in der Ecke,Toilet installed — no more puddles in the corner,Tuvalet kuruldu — köşede artık birikinti yok
MSG_ACT_BOOKED_ALREADY,Schon gebucht: %s,Already booked: %s,Zaten ayarlandı: %s
MSG_ACT_BOOKED,%s gebucht! Beliebtheit +%d %% · spielt in der nächsten Schicht,%s booked! Popularity +%d %% · plays next shift,%s ayarlandı! Popülerlik +%d %% · sonraki vardiyada çalar
MSG_GOODS_ORDERED,%d× %s bestellt (%s) — Lieferung in etwa 30 Sekunden,Ordered %d× %s (%s) — delivery in about 30 seconds,%d× %s sipariş edildi (%s) — yaklaşık 30 saniyede teslim
MSG_GOODS_DELIVERED,%d Paket(e) geliefert — bring sie ins Lager,%d package(s) delivered — carry them to storage,%d paket teslim edildi — depoya taşı
MSG_STAFF_HIRED,%s eingestellt: %s · Lohn %s pro Schicht,%s hired: %s · wage %s per shift,%s işe alındı: %s · vardiya başı maaş %s
MSG_STAFF_NONE,Niemand zum Aufstufen: %s,Nobody to upgrade: %s,Yükseltilecek kimse yok: %s
MSG_STAFF_UP,%s jetzt Stufe %d,%s now level %d,%s artık seviye %d
MSG_WAITER_UP,Kellner jetzt Stufe %d — trägt %d Krüge,Waiter now level %d — carries %d mugs,Garson artık seviye %d — %d kupa taşır
MSG_LIC_HAVE,%s ist schon vorhanden,You already have the %s,%s zaten var
MSG_LIC_DONE,%s gekauft — Gäste bestellen das jetzt auch,%s bought — guests will order it now,%s alındı — misafirler artık bunu da sipariş eder
MSG_TENT_MAX,Du hast schon das größte Zelt,You already have the largest tent,Zaten en büyük çadır sende
MSG_TENT_UP,%s! Jetzt bis zu %d Tische,%s! Now up to %d tables,%s! Artık en fazla %d masa
MSG_SLEEP_NEED_TENT,"Erst ein Zelt mieten, dann schlafen","Rent a tent first, then sleep","Önce çadır kirala, sonra uyu"
MSG_SLEEP_NEED_TABLE,Stell zuerst mindestens einen Tisch auf,Place at least one table first,Önce en az bir masa kur
MSG_DAY_START,"Tag %d · 07:00 — Zelt offen! Gäste ab 08:00, Feierabend um 22:00","Day %d · 7:00 — tent open! Guests from 8:00, closing at 22:00","%d. Gün · 07:00 — çadır açık! Misafirler 08:00'den itibaren, kapanış 22:00"
MSG_TABLE_NONE,Kein Tisch zum Verkaufen,No table to sell,Satılacak masa yok
MSG_TABLE_SOLD,Tisch verkauft (+%s) · noch %d,Table sold (+%s) · %d left,Masa satıldı (+%s) · %d kaldı
MSG_STOCK_EMPTY,Lager leer! %s nachbestellen (Wiesenbüro Ware),Storage empty! Reorder %s (Fair Office Supplies),Depo boş! %s sipariş et (Fuar Ofisi Malzeme)
MSG_EVENING,"19:00 — das Zelt wird voll, die Gäste werden ungeduldig","19:00 — the tent fills up, guests get impatient","19:00 — çadır doluyor, misafirler sabırsızlanıyor"
MSG_DAY_END,Feierabend! Netto %s · Bilanz im Wiesenbüro · schlafen startet den nächsten Tag,Closing time! Net %s · report in the Fair Office · sleep to start the next day,Mesai bitti! Net %s · bilanço Fuar Ofisinde · uyumak sonraki günü başlatır
POPUP_RESERVE,"Zuerst Ware einkaufen!\n\nDu hast kein Bier im Lager und keine Lieferung unterwegs.\nBehalte mindestens %s für ein Paket Bier — sonst kannst du nichts verkaufen.\n\nWiesenbüro Ware","Buy supplies first!\n\nYou have no beer in storage and no delivery on the way.\nKeep at least %s for a package of beer — otherwise you can't sell anything.\n\nFair Office Supplies","Önce malzeme al!\n\nDepoda bira yok ve yolda teslimat yok.\nBir paket bira için en az %s ayır — yoksa hiçbir şey satamazsın.\n\nFuar Ofisi Malzeme"
POPUP_NO_TENT,"Du hast noch kein Zelt!\n\nOhne Festzelt kannst du keine Ware lagern.\nMiete zuerst eins: Wiesenbüro Zelt (%s)","You don't have a tent yet!\n\nWithout a tent you can't store supplies.\nRent one first: Fair Office Tent (%s)","Henüz çadırın yok!\n\nÇadır olmadan malzeme depolayamazsın.\nÖnce bir tane kirala: Fuar Ofisi Çadır (%s)"
QUEST_3_TITLE,Stelle 2 Tische auf,Set up 2 tables,2 masa kur
QUEST_3_TEXT,Wiesenbüro (im Osten) Zelt Tisch aufstellen (200 € pro Tisch).,Fair Office (in the east) Tent Place table (€200 each).,Fuar Ofisi (doğuda) Çadır Masa koy (masa başı 200 €).
QUEST_4_TITLE,Bestelle Bier,Order beer,Bira sipariş et
QUEST_4_TEXT,"Ohne Bier kann niemand bedient werden. Im Wiesenbüro Reiter Ware ein Paket Bier bestellen: Ein Paket reicht für 10 Maß. Kommen später mehr Gäste, bestell gleich mehrere.","Nobody can be served without beer. In the Fair Office Supplies tab, order a package of beer: one package fills 10 mugs. When more guests come later, order several at once.","Bira olmadan kimseye servis yapılamaz. Fuar Ofisi Malzeme sekmesinden bir paket bira sipariş et: Bir paket 10 kupa eder. Sonra daha çok misafir gelince birkaç paket birden al."
QUEST_5_TITLE,Warte auf den Lieferwagen,Wait for the delivery van,Teslimat aracını bekle
QUEST_5_TEXT,"Deine Bestellung ist unterwegs. In etwa 30 Sekunden fährt der Lieferwagen vor, hupt und lädt die Pakete ab. Der Pfeil zeigt schon das Lagerregal im Zelt, wo sie hingehören.","Your order is on its way. In about 30 seconds the delivery van pulls up, honks and unloads the packages. The arrow already shows the storage shelf in the tent where they belong.","Siparişin yolda. Yaklaşık 30 saniye içinde teslimat aracı gelir, korna çalar ve paketleri indirir. Ekrandaki ok, paketlerin koyulacağı çadırdaki depo rafını şimdiden gösteriyor."
QUEST_6_TITLE,Pakete ins Regal räumen,Stock the shelf,Paketleri rafa diz
QUEST_6_TEXT,"Nimm jedes Paket mit {interact}, trag es ins Zelt zum Lagerregal und räume es dort mit {interact} ein. Erst eingeräumtes Bier kann gezapft werden.","Pick up each package with {interact}, carry it into the tent to the storage shelf and stock it there with {interact}. Only stocked beer can be poured.","Her paketi {interact} ile al, çadırdaki depo rafına taşı ve orada {interact} ile yerleştir. Sadece rafa konan bira doldurulabilir."
QUEST_7_TITLE,Schlafe im Wohnwagen,Sleep in your caravan,Karavanında uyu
QUEST_7_TEXT,"Dein Wohnwagen steht in der Gasse im Süden. Schlafen startet den Tag um 07:00, die ersten Gäste kommen nach ein bis zwei Minuten durchs Haupttor.","Your caravan is in the lane to the south. Sleeping starts the day at 7:00; the first guests come through the main gate after a minute or two.","Karavanın güneydeki sokakta. Uyumak günü 07:00'de başlatır, ilk misafirler bir iki dakika sonra ana kapıdan gelir."
QUEST_8_TITLE,Bediene einen Gast,Serve a guest,Bir misafire servis yap
QUEST_8_TEXT,"Krug nehmen, am Fass {interact} gedrückt halten, dann zum Gast und {interact}.","Grab a mug, hold {interact} at a keg, then go to a guest and press {interact}.","Bir kupa al, fıçıda {interact} tuşunu basılı tut, sonra misafire gidip {interact} bas."
QUEST_9_TITLE,Halte bis 22:00 durch,Keep going until 22:00,22:00'ye kadar dayan
QUEST_9_TEXT,Danach kommt die Tagesbilanz.,Then you get the daily report.,Ardından günlük bilanço gelir.
QUEST_10_TITLE,Stelle einen Kellner ein,Hire a waiter,Bir garson işe al
QUEST_10_TEXT,Wiesenbüro Personal. Er bedient die Gäste für dich.,Fair Office Staff. They serve guests for you.,Fuar Ofisi Personel. Misafirlere senin yerine servis yapar.
QUEST_11_TITLE,Kaufe eine Lizenz,Buy a license,Bir lisans satın al
QUEST_11_TEXT,Wiesenbüro Lizenzen. Mehr Auswahl bringt mehr Umsatz.,Fair Office Licenses. More choice means more sales.,Fuar Ofisi Lisanslar. Daha fazla çeşit daha fazla satış demek.
QUEST_12_TITLE,Baue eine Toilette ein,Install a toilet,Tuvalet kur
QUEST_12_TEXT,Wiesenbüro Zelt (1.000 €). Sonst pinkeln die Gäste in die Ecke.,"Fair Office Tent (€1,000). Otherwise guests pee in the corner.",Fuar Ofisi Çadır (1.000 €). Yoksa misafirler köşeye işer.
QUEST_13_TITLE,Buche einen Künstler,Book an act,Bir sanatçı ayarla
QUEST_13_TEXT,Wiesenbüro Künstler. Musik lockt mehr Gäste an.,Fair Office Acts. Music draws more guests.,Fuar Ofisi Sanatçılar. Müzik daha çok misafir çeker.
HELP_TITLE,Hilfe,Help,Yardım
HELP_CONTROLS,Steuerung,Controls,Kontroller
HELP_MOUSE,Maus,Mouse,Fare
HELP_CLOSE,Schließen {help},Close {help},Kapat {help}
ACTION_LOOK,Umsehen,Look around,Etrafa bak
HUD_HELP_HINT,{help} Hilfe · {kalender} Kalender,{help} Help · {kalender} Calendar,{help} Yardım · {kalender} Takvim
PAUSE_HELP,Hilfe und Steuerung,Help and controls,Yardım ve kontroller
HELP_FLOW_TITLE,So läuft ein Tag,How a day works,Bir gün nasıl geçer
HELP_FLOW,"1. Wiesenbüro: Zelt mieten, Tische aufstellen, Bier bestellen.\n2. Auf den Lieferwagen warten und die Pakete ins Lager tragen.\n3. Im Wohnwagen schlafen — der Tag beginnt um 07:00, Gäste kommen ab 08:00.\n4. Hinten Krug nehmen, am Fass zapfen, vorne auf die Ausgabe stellen — dort holen Kellner ab und bedienen. Pfützen und Erbrochenes putzen.\n5. Um 22:00 ist Feierabend: Bilanz lesen, Ware nachkaufen, Zelt ausbauen, schlafen.","1. Fair Office: rent a tent, place tables, order beer.\n2. Wait for the delivery van and carry the packages into storage.\n3. Sleep in your caravan — the day starts at 7:00, guests arrive from 8:00.\n4. Grab a mug at the back, pour at a keg, put it on the pass up front — waiters pick up there and serve. Clean up puddles and vomit.\n5. Closing time is 22:00: read the report, restock, expand the tent, sleep.","1. Fuar Ofisi: çadır kirala, masa kur, bira sipariş et.\n2. Teslimat aracını bekle ve paketleri depoya taşı.\n3. Karavanında uyu — gün 07:00'de başlar, misafirler 08:00'den itibaren gelir.\n4. Arkada kupa al, fıçıda doldur, öndeki servis yerine koy — garsonlar oradan alıp servis yapar. Birikinti ve kusmukları temizle.\n5. Kapanış 22:00: bilançoyu oku, malzeme al, çadırı büyüt, uyu."
HELP_TIPS_TITLE,Tipps,Tips,İpuçları
HELP_TIPS,"• Gäste warten nicht ewig — verpasste Bestellungen kosten Beliebtheit.\n• Mehr Beliebtheit bringt mehr Gäste, ein sauberes Zelt mehr Geld pro Bestellung.\n• Ohne Toilette pinkeln Gäste in die Ecke und beschweren sich.\n• Das Konto darf bis −1.000 € ins Minus; beim Zurückzahlen gehen 5 % Zinsen ab.\n• Zusammen spielen: Jeder darf im Wiesenbüro einkaufen und Personal einstellen.\n• Schlafen startet eine Abstimmung — die Mehrheit entscheidet über den nächsten Tag.\n• Ist das Klo besetzt (rote Lampe), gehen ungeduldige Gäste in eine Ecke — Putzen nicht vergessen!
• Gäste-Icons: Stammgast (treu, gibt Trinkgeld) · Tourist (ungeduldig) · in Tracht (bestellt gern) · VIP (wichtig für die Beliebtheit). [Strg] halten zeigt die Details.","• Guests don't wait forever — missed orders cost popularity.\n• More popularity brings more guests, a clean tent more money per order.\n• Without a toilet, guests pee in the corner and complain.\n• Your account can go down to −€1,000; paying it back costs 5 % interest.\n• Playing together: everyone may buy at the fair office and hire staff.\n• Going to bed starts a vote — the majority decides on the next day.\n• If the toilet is taken (red lamp), impatient guests go in a corner — don't forget to clean!
• Guest icons: regular (loyal, tips) · tourist (impatient) · in traditional dress (likes to order) · VIP (important for popularity). Hold [Ctrl] for details.","• Misafirler sonsuza kadar beklemez — kaçırılan siparişler popülerlik kaybettirir.\n• Popülerlik daha çok misafir, temiz çadır sipariş başına daha çok para getirir.\n• Tuvalet yoksa misafirler köşeye işer ve şikâyet eder.\n• Hesabın −1.000 €'ya kadar eksiye düşebilir; geri öderken %5 faiz kesilir.\n• Birlikte oynarken: herkes fuar ofisinden alışveriş yapabilir ve personel alabilir.\n• Yatmak bir oylama başlatır — sonraki günü çoğunluk belirler.\n• Tuvalet doluysa (kırmızı lamba) sabırsız misafirler bir köşeye gider — temizlemeyi unutma!
• Misafir simgeleri: müdavim (sadık, bahşiş verir) · turist (sabırsız) · geleneksel kıyafetli (çok sipariş verir) · VIP (popülerlik için önemli). Ayrıntılar için [Ctrl] basılı tut."
OFFICE_SEASON,"Tag %d: Miete und Ware +%d %%, Verkaufspreise +%d %%","Day %d: rent and supplies +%d %%, sale prices +%d %%","%d. gün: kira ve malzeme +%%%d, satış fiyatları +%%%d"
OFFICE_LOAN,Rettungskredit: noch %s offen — %d %% jeder Einnahme gehen an die Brauerei,Rescue loan: %s still owed — %d %% of every income goes to the brewery,Kurtarma kredisi: %s borç kaldı — her gelirin %%%d kadarı bira fabrikasına gider
WHY_LOAN,"Gesperrt, bis der Rettungskredit abbezahlt ist",Locked until the rescue loan is paid off,Kurtarma kredisi ödenene kadar kilitli
MSG_LOAN_LOCKED,"Gesperrt, bis der Rettungskredit abbezahlt ist",Locked until the rescue loan is paid off,Kurtarma kredisi ödenene kadar kilitli
MSG_LOAN_PAID,Rettungskredit abbezahlt — Ausbauten sind wieder frei,Rescue loan paid off — expansions are unlocked again,Kurtarma kredisi ödendi — geliştirmeler yeniden açık
REPORT_LOAN,Kredittilgung,Loan repayment,Kredi ödemesi
TIPP_TITEL,Tipps für morgen,Tips for tomorrow,Yarın için ipuçları
TIPP_WARE,"Das Bier war aus, während Gäste warteten — mehr Pakete bestellen.","Beer ran out while guests were waiting — order more packages.","Misafirler beklerken bira bitti — daha fazla paket sipariş et."
TIPP_KELLNER,Viele Bestellungen blieben liegen — stell einen Kellner ein.,Many orders were missed — hire a waiter.,Birçok sipariş kaçtı — bir garson işe al.
TIPP_ZAPFER,"Viele Bestellungen blieben liegen — ein Zapfer zapft vor, dann geht das Bedienen schneller.","Many orders were missed — a bartender pours ahead, so serving goes faster.","Birçok sipariş kaçtı — barmen önceden doldurur, servis hızlanır."
TIPP_MEHR_PERSONAL,Zu viele Gäste für dein Personal — noch einen Kellner oder Personal aufstufen.,Too many guests for your staff — hire another waiter or upgrade staff.,Personelin için çok fazla misafir — bir garson daha al ya da personeli yükselt.
TIPP_TOILETTE,Gäste pinkeln in die Ecke — eine Toilette verhindert Pfützen und Beschwerden.,Guests pee in the corner — a toilet prevents puddles and complaints.,Misafirler köşeye işiyor — tuvalet birikinti ve şikâyetleri önler.
TIPP_REINIGUNG,Viele Beschwerden über Dreck — eine Reinigungskraft putzt für dich.,Many complaints about mess — a cleaner cleans for you.,Pislik yüzünden çok şikâyet — temizlikçi senin yerine temizler.
TIPP_VERLUST,"Heute Verlust — Bierpreis im Zelt-Computer prüfen, Personal passend zur Tischzahl halten.","A loss today — check the beer price on the tent computer, keep staff in line with your tables.","Bugün zarar — çadır bilgisayarında bira fiyatına bak, personeli masa sayısına göre ayarla."
TIPP_LAEUFT,Läuft! Gäste tanzen ab 17 Uhr auf den Tischen — Zeit für den nächsten Ausbau.,Going well! From 17:00 guests dance on the tables — time for the next upgrade.,İşler yolunda! 17:00'den sonra misafirler masalarda dans eder — sıradaki geliştirme zamanı.
POPUP_LOAN,"Pleite! Die Brauerei springt ein.\n\nDein Konto stand bei %s. Sie gleicht es aus — du schuldest ihr jetzt %s.\n\nBis der Kredit abbezahlt ist, gehen %d %% jeder Einnahme an die Brauerei und Ausbauten sind gesperrt. Ware und die ersten zwei Tische gehen weiter.","Broke! The brewery steps in.\n\nYour account was at %s. They cover it — you now owe them %s.\n\nUntil the loan is paid off, %d %% of every income goes to the brewery and expansions are locked. Supplies and the first two tables still work.","İflas! Bira fabrikası devreye giriyor.\n\nHesabın %s idi. Fabrika bunu kapatıyor — artık ona %s borçlusun.\n\nKredi ödenene kadar her gelirin %%%d kadarı fabrikaya gider ve geliştirmeler kilitlenir. Malzeme ve ilk iki masa yine alınabilir."
OFFICE_TAB_GOALS,Ziele,Goals,Hedefler
OFFICE_TAB_DECO,Einrichtung,Furnishing,Süsleme
DECO_TAB_INFO,"Kaufe Lampen und Deko und stell sie im Zelt auf, wo du willst: aufnehmen und abstellen mit der Benutzen-Taste, drehen mit der Prost-Taste, verkaufen (halber Preis) mit der Kostüm-Taste. Neue Sachen stehen am Zelteingang. Jeder Gegenstand lockt ein paar Gäste mehr an (bis +20 %).","Buy lamps and decorations and place them anywhere in the tent: pick up and put down with the use key, rotate with the cheers key, sell (half price) with the costume key. New items wait at the tent entrance. Each item draws a few more guests (up to +20 %).","Lamba ve dekorasyon al, çadırda istediğin yere koy: kullan tuşuyla al ve bırak, şerefe tuşuyla döndür, kostüm tuşuyla sat (yarı fiyat). Yeni eşyalar çadır girişinde durur. Her eşya biraz daha misafir çeker (en fazla %20)."
DECO_LATERNE,Laterne,Lantern,Fener
DECO_LATERNE_INFO,Hohe Laterne mit warmem Licht.,Tall lantern with warm light.,Sıcak ışıklı uzun fener.
DECO_STEHLAMPE,Stehlampe,Floor lamp,Ayaklı lamba
DECO_STEHLAMPE_INFO,Gemütliches Licht für eine Ecke.,Cosy light for a corner.,Bir köşe için sıcak ışık.
DECO_LICHTERKETTE,Lichterkette,String lights,Işık zinciri
DECO_LICHTERKETTE_INFO,Bunte Glühbirnen zwischen zwei Masten.,Colourful bulbs between two poles.,İki direk arasında renkli ampuller.
DECO_BLUMEN,Blumenbeet,Flower bed,Çiçek tarhı
DECO_BLUMEN_INFO,Ein bisschen Grün fürs Zelt.,A bit of green for the tent.,Çadıra biraz yeşillik.
DECO_BUSCH,Busch,Bush,Çalı
DECO_BUSCH_INFO,Großer Busch als Raumteiler.,Large bush as a room divider.,Oda bölücü olarak büyük çalı.
